Node no.,X,Y,Z
285,-1.52709,3.60094,-16.3863
286,-1.28867,4.34957,-15.9882
287,-1.31582,4.27831,-16.0455
288,-1.33672,4.21947,-16.0836
289,-1.44702,4.15555,-16.1351
290,-1.38584,4.19195,-16.1117
291,-1.41705,4.07718,-16.156
292,-1.39544,4.00522,-16.1824
293,-1.39814,3.92775,-16.2158
294,-1.44213,3.84118,-16.2519
295,-1.54065,3.67185,-16.3335
296,-1.49754,3.75201,-16.2915
297,-1.21409,2.35865,-17.5753
298,-1.35894,2.30756,-17.4421
299,-1.2848,2.33056,-17.5131
300,-2.17201,3.84245,-15.7792
301,-2.20634,3.97607,-15.774
302,-2.20828,3.89596,-15.7432
303,-2.20423,3.83509,-15.7259
304,-2.0547,3.58812,-16.0162
305,-2.04259,3.65664,-16.0006
306,-2.05793,3.73639,-15.9473
307,-2.10394,3.75864,-15.8754
308,-2.14474,3.77816,-15.8094
309,-2.1555,3.25195,-16.1327
310,-2.0903,3.36528,-16.1278
311,-2.08565,3.44222,-16.0587
312,-2.09897,3.49755,-15.9792
313,-2.3355,3.02174,-16.0862
314,-2.23839,3.12301,-16.1406
315,-2.24076,3.16828,-16.0634
316,-2.42326,2.93465,-16.0296
317,-2.49557,2.846,-16.0307
318,-2.56701,2.77591,-16.0155
319,-2.74231,2.661,-15.916
320,-2.65936,2.73209,-15.9368
321,-2.80954,2.60071,-15.8908
322,-2.85101,2.5282,-15.8906
323,-2.88762,2.4345,-15.8986
324,-2.94662,2.39635,-15.863
325,-2.40491,2.60786,-16.4449
326,-2.32971,2.58866,-16.5404
327,-2.23895,2.56274,-16.6378
328,-2.44744,2.56016,-16.4283
329,-2.82036,2.45893,-15.9629
330,-2.65181,2.68764,-16.0059
331,-2.60895,2.64046,-16.1222
332,-2.77983,2.53409,-15.9733
333,-2.73442,2.6055,-15.977
334,-2.54535,2.58993,-16.2648
335,-2.50343,2.53709,-16.3695
336,-2.24425,2.4679,-16.6733
337,-1.62361,2.48099,-17.1247
338,-1.4759,2.47873,-17.2678
339,-1.55313,2.47213,-17.1924
340,-1.4598,2.37798,-17.3154
341,-1.43628,2.28871,-17.3624
342,-1.96836,2.66829,-16.7969
343,-1.87825,2.59181,-16.8876
344,-1.70261,2.49694,-17.0525
345,-1.78927,2.51558,-16.9758
346,-2.02205,2.56931,-16.7929
347,-2.05919,2.49063,-16.789
348,-2.1149,2.45505,-16.762
349,-2.18098,2.41074,-16.731
350,-1.21599,4.42215,-15.8506
351,-1.2237,4.35762,-15.9136
352,-1.21985,4.2853,-15.9674
353,-1.19451,4.44994,-15.7669
354,-1.20164,4.48698,-15.6991
355,-1.18365,4.48839,-15.5965
356,-1.22415,4.52265,-15.4575
357,-1.17463,4.47296,-15.4983
358,-1.22939,2.78832,-17.3233
359,-1.19065,2.7475,-17.3899
360,-1.16781,2.68703,-17.4511
361,-1.15635,2.61602,-17.5041
362,-1.15197,2.53836,-17.5512
363,-1.14921,2.45977,-17.5935
364,-1.14217,2.38313,-17.6355
365,-1.19689,2.87145,-17.2785
366,-1.24764,3.06254,-17.0273
367,-1.20454,3.01022,-17.1247
368,-1.16877,2.95479,-17.2178
369,-1.24838,3.14405,-16.9316
370,-1.27829,3.35858,-16.6762
371,-1.25701,3.29365,-16.7555
372,-1.25104,3.22303,-16.838
373,-1.42507,3.57513,-16.4319
374,-1.34184,3.53819,-16.4846
375,-1.28024,3.48941,-16.5488
376,-1.23085,3.42998,-16.628
377,-1.43646,3.64644,-16.3765
378,-1.2527,4.25158,-16.0216
379,-1.2805,4.19831,-16.0685
380,-1.32084,4.15565,-16.1062
381,-1.37001,4.12019,-16.1342
382,-1.34459,4.05008,-16.161
383,-1.33001,3.97681,-16.1942
384,-1.33841,3.89586,-16.2357
385,-1.37146,3.80994,-16.2813
386,-1.4182,3.72524,-16.3263
387,-1.19507,2.29019,-17.6189
388,-1.12435,2.30875,-17.6822
389,-1.26348,2.26336,-17.556
390,-1.40604,2.20669,-17.4115
391,-1.33349,2.23459,-17.4876
392,-2.18089,3.78316,-15.7469
393,-2.2461,3.9336,-15.6984
394,-2.23686,3.86089,-15.6823
395,-2.21515,3.7871,-15.6875
396,-2.09576,3.56696,-15.9398
397,-2.09494,3.66201,-15.9017
398,-2.13557,3.70589,-15.8164
399,-2.16397,3.73176,-15.7652
400,-2.16731,3.28659,-16.0553
401,-2.12948,3.37439,-16.0318
402,-2.12796,3.44101,-15.9601
403,-2.13956,3.50399,-15.8711
404,-2.33405,3.06672,-16.0056
405,-2.25056,3.19904,-15.981
406,-2.41287,2.9884,-15.9417
407,-2.47957,2.90271,-15.9479
408,-2.53725,2.84513,-15.9378
409,-2.5987,2.8015,-15.9092
410,-2.66399,2.77094,-15.8606
411,-2.79893,2.66364,-15.8522
412,-2.72858,2.71185,-15.8734
413,-2.87822,2.60334,-15.8261
414,-2.92323,2.48029,-15.8484
415,-2.98964,2.48265,-15.8003
416,-3.00555,2.38372,-15.8243
417,-2.86548,2.37656,-15.9446
418,-2.92419,2.34917,-15.8973
419,-2.98623,2.32856,-15.8551
420,-2.39422,2.53927,-16.5055
421,-2.32542,2.49953,-16.596
422,-2.46012,2.49666,-16.4533
423,-2.52484,2.45721,-16.3908
424,-2.78921,2.41047,-16.0283
425,-2.66695,2.5531,-16.1182
426,-2.72008,2.47943,-16.0924
427,-2.59159,2.49567,-16.2711
428,-2.59517,2.40971,-16.3145
429,-2.31646,2.40534,-16.6412
430,-2.25284,2.37021,-16.6954
431,-1.66957,2.4031,-17.1017
432,-1.60299,2.37794,-17.1679
433,-1.53656,2.37021,-17.2364
434,-1.51233,2.27113,-17.2817
435,-1.47876,2.17775,-17.3316
436,-1.94357,2.53841,-16.8546
437,-1.86515,2.4756,-16.9261
438,-1.73904,2.41835,-17.0376
